Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,88499.101563,89388.000000,83455.703125,84069.148438,83850.812500,56240
2021-02-01,84888.000000,88798.601563,83900.046875,88133.648438,87904.750000,46017
2021-02-02,89450.000000,91949.898438,88926.851563,90745.953125,90510.273438,51519
2021-02-03,91583.203125,93278.351563,89500.046875,89963.500000,89729.851563,44550
2021-02-04,90999.898438,93780.000000,89964.000000,92181.953125,91942.539063,63583
2021-02-05,93318.296875,93566.953125,90272.148438,90693.046875,90457.500000,49120
2021-02-08,92249.898438,92551.250000,90000.000000,90870.750000,90634.750000,36568
2021-02-09,91495.000000,94699.000000,90400.000000,93597.898438,93354.820313,69603
2021-02-10,93852.000000,97880.796875,92750.000000,96973.851563,96722.000000,72305
2021-02-11,96770.000000,98599.953125,89120.000000,90084.703125,89850.742188,182954
2021-02-12,92000.000000,93480.000000,90085.000000,91278.046875,91040.992188,138059
2021-02-15,92373.398438,92450.000000,90000.000000,90643.898438,90408.484375,54272
2021-02-16,91499.000000,91550.000000,89003.796875,89575.351563,89342.703125,58998
2021-02-17,90999.898438,90999.898438,88811.000000,89184.500000,88955.859375,39383
2021-02-18,89500.000000,90000.000000,88350.000000,88881.351563,88653.484375,36398
2021-02-19,88160.000000,89369.851563,87000.000000,88120.101563,87894.179688,34825
2021-02-22,88800.000000,88800.000000,86226.000000,86921.296875,86698.453125,33729
2021-02-23,87293.601563,88105.046875,85800.000000,87558.500000,87334.031250,37383
2021-02-24,88100.000000,88600.000000,86850.000000,87979.648438,87754.093750,13773
2021-02-25,88200.000000,88600.000000,87362.851563,87622.796875,87398.164063,22420
2021-02-26,86900.000000,87320.000000,83803.546875,84498.148438,84281.515625,46327
2021-03-01,85200.000000,89864.000000,85152.046875,89025.453125,88797.210938,48753
2021-03-02,90148.750000,90274.000000,88446.953125,89680.398438,89450.484375,34837
2021-03-03,89680.000000,89950.000000,88480.000000,89097.101563,88868.687500,22137
2021-03-04,88200.000000,90801.000000,88097.703125,89773.546875,89543.390625,29437
2021-03-05,89699.898438,89699.898438,88005.000000,88661.750000,88434.453125,27911
2021-03-08,88661.750000,89484.953125,87202.046875,87564.546875,87340.054688,21119
2021-03-09,88398.398438,89505.500000,88000.000000,89067.703125,88839.351563,24443
2021-03-10,89702.750000,89703.000000,88379.453125,88684.101563,88456.742188,16992
2021-03-12,88800.000000,90300.000000,88200.000000,88775.351563,88547.742188,25808
2021-03-15,89200.000000,89490.500000,87000.000000,87673.546875,87448.781250,22657
2021-03-16,87900.000000,88479.851563,86500.000000,86819.000000,86596.421875,22685
2021-03-17,87328.546875,87328.546875,85246.250000,85609.000000,85389.523438,18541
2021-03-18,86025.203125,86348.250000,83000.046875,83206.250000,82992.921875,30104
2021-03-19,82900.000000,84920.953125,80605.796875,84539.796875,84323.062500,63106
2021-03-22,84500.000000,85499.000000,82421.101563,83722.796875,83508.156250,27406
2021-03-23,83999.898438,84999.953125,83600.000000,84615.101563,84398.171875,26061
2021-03-24,83870.000000,84345.398438,81800.000000,82341.703125,82130.609375,25865
2021-03-25,82300.000000,82993.000000,80702.703125,81751.203125,81541.617188,33840
2021-03-26,82749.398438,82749.398438,81800.000000,82009.453125,81799.195313,17694
2021-03-30,82511.000000,83946.000000,81325.046875,83185.296875,82972.031250,34009
2021-03-31,82711.398438,83525.750000,81950.000000,82259.453125,82048.562500,17739
2021-04-01,83148.000000,83449.953125,82200.000000,83133.101563,82919.976563,19973
2021-04-05,82310.000000,83269.101563,81262.601563,81520.898438,81311.898438,19060
2021-04-06,82139.750000,82500.000000,81211.101563,82245.546875,82034.687500,18062
2021-04-07,81770.000000,83950.000000,81684.750000,83672.601563,83458.093750,16887
2021-04-08,83900.000000,84492.148438,82500.000000,82983.101563,82770.359375,19674
2021-04-09,82908.351563,83287.453125,81750.000000,81888.148438,81678.218750,14917
2021-04-12,81300.000000,81400.000000,78900.000000,79227.851563,79024.726563,24417
2021-04-13,79500.000000,83100.000000,79300.000000,82671.601563,82459.656250,30804
2021-04-15,81700.000000,82449.953125,80500.000000,80980.500000,80772.890625,33546
2021-04-16,81410.000000,81981.046875,80980.500000,81366.000000,81157.398438,23199
2021-04-19,79205.000000,80399.000000,78813.000000,79231.398438,79028.265625,26801
2021-04-20,80399.953125,80650.101563,78699.546875,79339.796875,79136.398438,27667
2021-04-22,79100.000000,79100.000000,77634.351563,78308.000000,78107.234375,41067
2021-04-23,78280.000000,78881.000000,77800.000000,78214.148438,78013.632813,17859
2021-04-26,78550.000000,79296.398438,77484.500000,77687.546875,77488.367188,16483
2021-04-27,77900.000000,78472.898438,77700.000000,78010.398438,77810.406250,13283
2021-04-28,78390.000000,79300.000000,77850.000000,78060.796875,77860.671875,23446
2021-04-29,78600.000000,79100.000000,77505.000000,77656.898438,77457.804688,18240
2021-04-30,77600.000000,81699.000000,77200.000000,80720.546875,80513.609375,60005
2021-05-03,80399.898438,81127.953125,79300.101563,79907.546875,79702.679688,18348
2021-05-04,80880.000000,80880.000000,78410.148438,78614.500000,78412.953125,24181
2021-05-05,79299.953125,79398.953125,77751.000000,78277.703125,78077.023438,17889
2021-05-06,78300.000000,79199.953125,77756.250000,77887.296875,77687.617188,17273
2021-05-07,78300.000000,78770.000000,77200.000000,77446.203125,77247.656250,21111
2021-05-10,78200.000000,78745.000000,77500.000000,78370.046875,78169.117188,15645
2021-05-11,77914.000000,78989.953125,77606.351563,78621.148438,78419.593750,14533
2021-05-12,78300.000000,79225.101563,77001.000000,77267.296875,77069.218750,21902
2021-05-14,77501.000000,77850.000000,75950.000000,76135.750000,75940.562500,23176
2021-05-17,76780.000000,78464.296875,76000.000000,78211.796875,78011.289063,20991
2021-05-18,78850.000000,79947.000000,78405.546875,79270.000000,79066.773438,24073
2021-05-19,79272.000000,80000.000000,78340.046875,79683.203125,79478.921875,19150
2021-05-20,79800.000000,82469.953125,79246.351563,81231.101563,81022.851563,26037
2021-05-21,81700.000000,82483.648438,81300.000000,82178.203125,81967.515625,20210
2021-05-24,82360.000000,83300.000000,82000.000000,82458.851563,82247.445313,15291
2021-05-25,82706.000000,83098.953125,81921.000000,82181.648438,81970.953125,11453
2021-05-26,82669.953125,82800.000000,81400.000000,81569.500000,81360.375000,10203
2021-05-27,81599.898438,83174.851563,81355.601563,82794.148438,82581.890625,18209
2021-05-28,83199.000000,83650.000000,82825.000000,83382.101563,83168.335938,10943
2021-05-31,83237.000000,83965.000000,83000.000000,83641.398438,83426.960938,10282
2021-06-01,83643.398438,84800.000000,82811.796875,83083.453125,82870.445313,11331
2021-06-02,82800.000000,84776.453125,82800.000000,84432.648438,84216.179688,10170
2021-06-03,84705.000000,85086.000000,83810.000000,84471.000000,84254.437500,9669
2021-06-04,84850.000000,85336.000000,84240.000000,84918.703125,84700.992188,11134
2021-06-07,85598.898438,87300.000000,82250.000000,82400.500000,82189.242188,69851
2021-06-08,82260.000000,82455.148438,81150.148438,81349.203125,81140.648438,26448
2021-06-09,81869.000000,81989.000000,80009.000000,80228.148438,80022.468750,19134
2021-06-10,80301.000000,82325.953125,80050.046875,82172.148438,81961.484375,20186
2021-06-11,82572.148438,82818.453125,81325.203125,82171.500000,81960.835938,13297
2021-06-14,82000.000000,83127.953125,81271.296875,82476.851563,82265.398438,11908
2021-06-15,82530.500000,83357.750000,81950.000000,82862.703125,82650.265625,12061
2021-06-16,82799.000000,83150.000000,82350.046875,82554.296875,82342.656250,10103
2021-06-17,81925.000000,83295.851563,81826.046875,82676.398438,82464.437500,14770
2021-06-18,82650.000000,83147.398438,80500.000000,82644.101563,82432.226563,32641
2021-06-21,81000.000000,82250.000000,81000.000000,81777.046875,81567.390625,6928
2021-06-22,82500.000000,82500.000000,81500.000000,81747.250000,81537.679688,7101
2021-06-23,81750.000000,82499.953125,81750.000000,81970.546875,81760.398438,4801
2021-06-24,82198.000000,82198.000000,80650.000000,80975.000000,80767.406250,9667
2021-06-25,81217.898438,81249.046875,80375.000000,80514.203125,80307.796875,7525
2021-06-28,80899.000000,81148.851563,80141.000000,80554.648438,80348.125000,10158
2021-06-29,80750.000000,80750.000000,79527.750000,80222.250000,80016.585938,14280
2021-06-30,80300.000000,80649.546875,79871.000000,80079.500000,79874.203125,7178
2021-07-01,80100.000000,81467.851563,80100.000000,81018.296875,80810.585938,9204
2021-07-02,81021.101563,81489.601563,80600.000000,81142.296875,80934.265625,6768
2021-07-05,81190.000000,81827.750000,80600.000000,80830.351563,80623.117188,8057
2021-07-06,80890.000000,81384.000000,80350.000000,80449.203125,80242.953125,6734
2021-07-07,80600.000000,81349.851563,80300.203125,80768.898438,80561.828125,10475
2021-07-08,81000.000000,81339.953125,80100.000000,80417.953125,80211.781250,5867
2021-07-09,80600.000000,80699.898438,79880.000000,79994.703125,79789.617188,10267
2021-07-12,80300.000000,80480.203125,79880.000000,80187.101563,79981.523438,5751
2021-07-13,80439.953125,83450.000000,80001.101563,83115.796875,82902.718750,35724
2021-07-14,83000.000000,83356.953125,82380.601563,82806.046875,82593.757813,9792
2021-07-15,82806.000000,83254.953125,81116.000000,81445.203125,81236.406250,10241
2021-07-16,81950.000000,82710.000000,81354.898438,82449.851563,82238.468750,11216
2021-07-19,81800.000000,82964.953125,81625.000000,82236.296875,82025.460938,7692
